Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,20000013348,680625.00,FERGUSON ENTERPRISES INC,Invitation to Bid,4/23/22 Close per vendor request IFB / Goods & Services / Department of Public Works / Cold Water Meters & Repair Parts/ Initial One (1) Year with Four (4) - One (1) Year renewals.,"Supplies, Non Technology",04/24/2020 12:00:00 AM,04/23/2022 12:00:00 AM
Information Technology,20000013427,102000.00,"Bazon-Cox & Associates, Inc",Invitation to Bid,"Wiring, Cabling, and Fiber Communications /Renewal 1, 3 -2yr renewals/req. 200010231","Non Professional Services, Technology",05/05/2020 12:00:00 AM,05/04/2024 12:00:00 AM
Information Technology,20000013429,233000.00,J T WILLIAMS COMMUNICATIONS LLC,Invitation to Bid,"IFB / Non Professional - Technology / Department of Information Technology / Wiring, Cabling, and Fiber Communications / Initial Term of One (1) year with Three (3) - Two (2) year renewals.","Non Professional Services, Technology",05/05/2020 12:00:00 AM,07/03/2024 12:00:00 AM
Information Technology,20000013451,32500.00,DATAMATION INC - INACTIVE,Invitation to Bid,"Wiring, Cabling, and Fiber Communications /Term 1, 3 -2yr renewals/req. 200010231","Non Professional Services, Technology",05/07/2020 12:00:00 AM,05/06/2022 12:00:00 AM
Information Technology,20000013452,316311.88,Mid Atlantic Source One Of VA LLC,Invitation to Bid,"IFB / Goods and Services / Department of Information Technology / Wiring, Cabling, and Fiber Communications / Initial term of Two (2) years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Technology",05/07/2020 12:00:00 AM,07/06/2024 12:00:00 AM
Public Utilities,20000013532,2715423.18,ANIXTER INC,Invitation to Bid,"Streetlight Poles, Luminaries, Parts, and Accessories/Base years of terms/Req. 200005021/3 two year renewal options","Supplies, Non Technology",03/09/2020 12:00:00 AM,03/08/2026 12:00:00 AM
Public Utilities,20000013803,1249849.43,FERGUSON ENTERPRISES INC,Invitation to Bid,"IFB / Supplies - Non Technology / Department of Public Utilities / Fire Hydrants, Extension Kits and Repair Kits / Initial Term Two (2) years with Two (2) - Two (2) year renewals and extension.","Supplies, Non Technology",05/08/2020 12:00:00 AM,05/07/2026 12:00:00 AM
Public Utilities,20000013805,1859944.56,FORTILINE INC,Invitation to Bid,"IFB / Equipment - Non-Technology / Department of Public Utilities / Fire Hydrants, Extension Kits and Repair Kits/ Initial Term of Two (2) Years with Two (2) - Two (2) Year renewal with extension.","Supplies, Non Technology",05/11/2020 12:00:00 AM,05/10/2026 12:00:00 AM
Public Works,20000014199,200000.00,TEREX UTILITIES INC,Invitation to Bid,"IFB / Services - Non Professional & Non Technology / Department of Public Works / Repair, Test and Certify Aerial Towers, Cranes and Diggers / Initial Two (20 years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology",05/27/2020 12:00:00 AM,05/26/2026 12:00:00 AM
Public Works,20000014205,100000.00,American Fleet Services LLC,Invitation to Bid,"IFB / Services - Non Professional & Non Technology / Department of Public Works / Repair, Test and Certify Aerial Towers, Cranes and Diggers / Initial Two (2) years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology",05/27/2020 12:00:00 AM,05/26/2026 12:00:00 AM
Public Utilities,20000014402,34038.60,MULCARE PIPELINE SOLUTIONS,Invitation to Bid,Mercaptan for Natural Gas/2 yr base w/ 2 two-year renewal options/Req. 200013067.,Commodity,05/31/2020 12:00:00 AM,05/31/2022 12:00:00 AM
Public Utilities,20000014518,421392.75,"PPI Gas Distribution, Inc",Invitation to Bid,IFB 200008323/ Supplies - Non Technology / Department of Public Works / Electro Fusion Fitting / Initial Two (2) year with Two (2) - Two (2) year renewals and extension.,"Supplies, Non Technology",06/01/2020 12:00:00 AM,05/31/2026 12:00:00 AM
Human Resources,20000015248,2326029.72,HCA HEALTH SERVICES OF VA INC,Request for Proposal,RFP / Services - Non Professional and Non Technology / City Wide Contract / Employee Related Medical Services and Testing/ Two (2) year initial with Three (3) - One (1) year renewals and extension,"Non Professional Services, Non Technology",05/07/2020 12:00:00 AM,05/06/2023 12:00:00 AM
Public Works,21000000448,545000.00,Meridian Waste Virginia LLC,Invitation to Bid,"IFB/Service/DPW/Refuse Removal, Disposal, Compaction and Collection Services/Term 2 of 3/Old Agreement No. 1600019941","Non Professional Services, Non Technology",05/15/2022 12:00:00 AM,11/14/2022 12:00:00 AM
Public Utilities,21000000472,6135045.73,WACO INC,Invitation to Bid,IFB - Repulsion #:L200004903 / Construction / Department of Public Works / Modern Green High Efficiency HVAC System / 730 consecutive calendar days /,Construction - Capital/Non-Capital,07/20/2020 12:00:00 AM,02/28/2026 12:00:00 AM
Public Utilities,21000001043,536596.35,BRENNTAG SOUTHEAST INC - INACTIVE,Cooperative Agreement,Sodium Hydroxide /Name change from Suffolk Solutions Inc. to Brenntage Global Marketing LLC/Term 1 of 1,"Supplies, Non Technology",07/24/2020 12:00:00 AM,07/23/2021 12:00:00 AM
City Wide,21000001727,7000000.00,"22nd Century Technologies, Inc",Request for Proposal,RFP #200004106 / Services / City Wide Contract / Temporary Services / Initial Term / Two (2) - Two (2)Year Renewals,"Non Professional Services, Non Technology",08/18/2020 12:00:00 AM,08/17/2026 12:00:00 AM
City Wide,21000001815,1000000.00,Trade Team ATI,Request for Proposal,Temporary Personnel Services/RFP#200004106/ Initial 2-year term/ (2) two-year renewals,"Non Professional Services, Non Technology",08/17/2020 12:00:00 AM,08/16/2026 12:00:00 AM
City Wide,21000002101,26000000.00,ABACUS CORPORATION,Request for Proposal,RFP / No Professional & Non Technical Services / City Wide / Temporary Personnel Services; RFP#200004106 / Initial Two (2) year with Two (2) - Two 2 year Renewal Term,"Non Professional Services, Non Technology",08/20/2020 12:00:00 AM,08/19/2026 12:00:00 AM
City Wide,21000002103,45000000.00,CorTech LLC,Request for Proposal,RFP / Services - Non-Professional - Non-Technical Services / City Wide Technical Services Temporary Personnel Services / Initial Two (2) year term with Two (2) - Two (2) year renewal and extension. Updated pay rate,"Non Professional Services, Non Technology",08/19/2020 12:00:00 AM,08/18/2026 12:00:00 AM
City Wide,21000002104,5500000.00,Premier Staffing Source Inc,Request for Proposal,RFP / Services - Non Professional and Non Technical / City Wide Contract / Temporary Services and Personnel Staffing / Initial term of Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",08/19/2020 12:00:00 AM,08/18/2026 12:00:00 AM
City Wide,21000002105,500000.00,Mindlance Inc - INACTIVE,Request for Proposal,Temporary Personnel Services; RFP#200004106; Two-2 Year Renewal Term,"Non Professional Services, Non Technology",08/20/2020 12:00:00 AM,08/19/2024 12:00:00 AM
Public Works,21000002755,1200000.00,American Fleet Services LLC,Invitation to Bid,"IFB - Requisition200010927 / Supplies - Non Technology / Department of Public Works / OEM parts, repairs, certifications and diagnostics / initial term of Two (2) years with Three (3) - Two (2) year renewals and extension","Non Professional Services, Non Technology",09/10/2020 12:00:00 AM,09/09/2026 12:00:00 AM
Public Works,21000002756,1662700.00,TEREX UTILITIES INC,Invitation to Bid,"IFB - Requisition 200010927 / Supplies - Non Technology / Public Woks / OEM parts, repairs, certifications and diagnostics for medium and heavy duty trucks / Initial term of Two (2) years with Three (3) - Two (2) years with extension.","Non Professional Services, Non Technology",09/10/2020 12:00:00 AM,09/09/2026 12:00:00 AM
Public Works,21000002757,500000.00,Rush Truck Centers of Virginia Inc - INACTIVE,Invitation to Bid,"IFB 200010927 OEM parts, repairs, certifications and diagnostics for medium and heavy duty trucks/Term 1 of 4","Non Professional Services, Non Technology",08/31/2020 12:00:00 AM,08/31/2022 12:00:00 AM
Public Utilities,21000004496,500000.00,Ferguson US Holdings Inc,Invitation to Bid,Closeout - 10/13/2022; Contractor Declined Renewal: IFB 200017903/Commercial Cold Water Meters,Equipment - Non Technology,10/22/2020 12:00:00 AM,10/22/2022 12:00:00 AM
Public Utilities,21000004497,575000.00,METRON-FARNIER LLC,Invitation to Bid,IFB 200017903/Commercial Cold Water Meters/2-year term/2 2-year renewals/1 1-year extension Renewal # 2 With line item price increase 10/08/2024,Equipment - Non Technology,10/22/2020 12:00:00 AM,10/21/2026 12:00:00 AM
Public Utilities,21000004499,2300000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,"IFB 210001172 / Supplies - Non Technology / Department of Public Utilities / Meter Bars, Manifolds, and Accessories / Two (2() year term with Two (2) - Two (2) year renewals and extension.",Equipment - Non Technology,10/22/2020 12:00:00 AM,10/21/2026 12:00:00 AM
Procurement Services,21000005216,500000.00,Voiance Language Services,Cooperative Agreement,Cooperative / Services Non Professional and Non Technical / Citywide Interpretation and Translation Services / State Contact #E194-7760.,"Non Professional Services, Non Technology",11/01/2020 12:00:00 AM,10/31/2023 12:00:00 AM
Public Utilities,21000005562,6362544.33,BERKLE WELDING AND FABRICATION,Invitation to Bid,IFB / Goods and Services / Department of Public Utilities / Welding and Fabrication./ Initial Term of Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",11/12/2020 12:00:00 AM,11/12/2024 12:00:00 AM
Public Utilities,21000005570,5300000.00,C & L Machine And Welding Inc,Invitation to Bid,"Welding, Fabricating and Machine Services/Req. 210001051/Term: 2 yr base w/ 2 two-year renewal options.","Non Professional Services, Non Technology",11/12/2020 12:00:00 AM,11/11/2026 12:00:00 AM
Public Utilities,21000005573,8040000.00,WEST END MACHINE AND WELDING,Invitation to Bid,"Welding, Fabricating and Machine Services/Req. 210001051/Term: 2 yr base w/ 2 two-year renewal options.","Non Professional Services, Non Technology",11/12/2020 12:00:00 AM,11/11/2026 12:00:00 AM
Public Utilities,21000005662,2785000.00,POLYTEC INC,Agency Request,Sole Source - Requisition #210003520 / Commodity / Department of Public Utilities / Commercial water tank chemicals in bulk / Two (2) year initial term with Two (2) - Two (2) year renewal terms and extension.,"Supplies, Non Technology",12/18/2020 12:00:00 AM,12/17/2026 12:00:00 AM
"Library, Richmond Public",21000007626,160330.00,Steinberg Hart New York - INACTIVE,Request for Proposal,CLOSE ON EXPIRY _ FULLY RELEASED _-Richmond Library Multiphase Professional Services Project/Requisition 200017901/Term: 120 consecutive calendar days.,Professional Services,02/16/2021 12:00:00 AM,03/01/2022 12:00:00 AM
Public Works,21000007912,2590000.00,GILMORE PLANT AND BULB CO INC,Invitation to Bid,IFB#210005221; Tree and Tree Planting; Two (2) Year Initial Term; with Four (4) renewal options,"Non Professional Services, Non Technology",01/26/2021 12:00:00 AM,01/25/2027 12:00:00 AM
Public Utilities,21000008028,107437.04,"Bartlett Controls, Inc",Invitation to Bid,Mooney Regulator and YZ Odorizer Parts & Equipment/Requisition 210001178/ Terms: 2 yr base w/ 2 two yr renewal options,Equipment - Non Technology,01/18/2021 12:00:00 AM,01/17/2025 12:00:00 AM
Public Utilities,21000010103,1287877.00,Ferguson US Holdings Inc,Invitation to Bid,"Resilient Seated Gate Valves, Tapping Valves, Altitude Valves and Pressure Reducing Valves/Requisition 210002449/Term: 2 yr base w/ 3 two year renewal options.","Supplies, Non Technology",03/15/2021 12:00:00 AM,03/14/2027 12:00:00 AM
Public Utilities,21000010110,1724001.74,FORTILINE INC,Invitation to Bid,"Resilient Seated Gate Valves, Tapping Valves, Altitude Valves, and Pressure Reducing Valves/Requisition 210002449/Term: 2 yr base w/3 two year renewal options","Supplies, Non Technology",03/15/2021 12:00:00 AM,03/14/2027 12:00:00 AM
Fleet Management,21000011354,5000000.00,QUARLES PETROLEUM INC - INACTIVE,Cooperative Agreement,Replaced by Contract t# 23000003998 Cooperative / Supplies - Non Technology / Department of Public Works / Fuel Delivery & Supply / s / Hanover County 21-04-2943 / One (1) year initial term with Nine (9) - One (1) ye,"Non Professional Services, Non Technology",04/01/2022 12:00:00 AM,03/19/2026 12:00:00 AM
Emergency Communication,21000011579,2363325.11,INTERGRAPH CORPORATION,Agency Request,"Sole Source 210012153 / Intergraph Hexagon / One Year Initial Term, 5 one year renewal term options","Non Professional Services, Technology",08/01/2021 12:00:00 AM,07/31/2026 12:00:00 AM
Public Utilities,21000011807,560000.00,FORTILINE INC,Invitation to Bid,Requisition 210010199/Gas and Water Clamps and Sleeves/Initial Term,"Supplies, Non Technology",05/20/2021 12:00:00 AM,05/19/2027 12:00:00 AM
Public Utilities,21000011848,499999.00,SCHNABEL ENGINEERING CONSULTANTS INC,Request for Proposal,RFP - Requisition #210003252 / Services - Non-Professional & Non-Technology / Initial Term Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",05/02/2021 12:00:00 AM,05/02/2027 12:00:00 AM
Information Technology,21000011851,32700.00,Carahsoft Technology Corporation,Cooperative Agreement,Req# 210012139 / Socrata Software / Cooperative Using GSA Contract# GS-35F-0119Y / CANNOT RENEW UNLESS GSA HAS RENEWED / GSA Agreement Expires December 2021,"Non Professional Services, Technology",07/01/2021 12:00:00 AM,12/12/2026 12:00:00 AM
Public Utilities,21000011850,549999.00,FROEHLING AND ROBERTSON INC,Request for Proposal,RFP -Requisition #210003252 / Services - Non-Professional and Non-Technology / Department of Public Utilities / Geotechnical Testing and Inspection Services / Initial Term of Two (2)) with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",05/02/2021 12:00:00 AM,05/02/2027 12:00:00 AM
Public Utilities,21000012274,300000.00,MULCARE PIPELINE SOLUTIONS,Invitation to Bid,IFB 210011558/YZ Parts and Equipment,"Supplies, Non Technology",05/18/2021 12:00:00 AM,05/17/2023 12:00:00 AM
Public Utilities,21000013422,1000000.00,AtlasElektro LLC,Invitation to Bid,"Annual Electric Motor Testing, Preventative Maintenance and Repair Services/Term 3 of 3/160021009","Non Professional Services, Non Technology",08/25/2020 12:00:00 AM,08/21/2023 12:00:00 AM
Public Utilities,21000013561,500000.00,"PLCS, LLC",Invitation to Bid,"IFB# 210010204 / Joint Encapsulation Kits / DPU / 2 year initial term, 2 two year ren options. 2/27/24 - increase contract value to $300,000.00","Supplies, Non Technology",07/20/2021 12:00:00 AM,07/19/2027 12:00:00 AM
Public Utilities,21000013563,225000.00,MILLER PIPELINE LLC,Invitation to Bid,"IFB# 210010204 / Joint Encapsulation Kits / DPU / 2 year initial term, 2 two year ren options","Supplies, Non Technology",06/24/2021 12:00:00 AM,06/23/2027 12:00:00 AM
Human Resources,22000000018,100000.00,"The Segal Company (Eastern States), Inc. - INACTIVE",Cooperative Agreement,Cooperative Agreement for RFP #SH052809/Requisition 220000008/Term: 5 year base w/ 2 Five -year renewal options.,"Non Professional Services, Non Technology",07/01/2010 12:00:00 AM,05/31/2025 12:00:00 AM
Police Department,22000000139,200000.00,Galls LLC,Cooperative Agreement,Requisition 210013432/UNIFORMS CONTRACT/Renewal 3 of 3,"Supplies, Non Technology",07/12/2021 12:00:00 AM,01/31/2022 12:00:00 AM
Public Works,22000000171,75000.00,"Hogwash Express Car Wash, LLC",Invitation to Bid,Offsite Vehicle Wash Service; IFB#210013875; Two (2) year initial contract terms; three (3) one-year renewal options.,"Non Professional Services, Non Technology",07/12/2021 12:00:00 AM,07/11/2023 12:00:00 AM
Public Utilities,22000000675,579123.00,LIBERTY SALES & DISTRIBUTION,Invitation to Bid,"IFB / Department of Public Utilities / Corrosion Tape, Paste, and Natural Gas Repair Kits / 2 year initial term and Two (2) - Two (2)year renewals","Supplies, Non Technology",08/20/2021 12:00:00 AM,08/19/2027 12:00:00 AM
